Test Case,Expected,Result
case 1,"3
[33]
[18]","3
[33]
[18]"
case 2,"3
[10]
[21]","3
[10]
[21]"
case 3,"3
[18]
[37]","3
[24]
[37]"
case 4,"3
[24]
[9]","0
[]
[]"
case 5,"0
[]
[]","0
[]
[]"
case 6,"0
[]
[]","0
[]
[]"
case 7,"0
[]
[]","0
[]
[]"
case 8,"0
[]
[]","3
[10]
[19]"
case 9,"0
[]
[]","0
[]
[]"
case 10,"0
[]
[]","0
[]
[]"
case 11,"0
[]
[]","0
[]
[]"
case 12,"1
[13]
[17]","1
[13]
[17]"
case 13,"1
[18]
[23]","0
[]
[]"
case 14,"1
[39,40]
[5]","1
[39,40,41]
[5,13]"
case 15,"1
[31]
[33]","1
[31]
[33]"
case 16,"1
[5,6]
[7,9,10,12]","0
[]
[]"
case 17,"1
[4]
[7]","1
[4]
[7]"
case 18,"1
[5]
[9]","1
[8]
[9]"
case 19,"4
[5,6,7]
[12,18,33,37,42,47]","1
[5,6,7]
[12,18,33]"
case 20,"4
[14]
[15]","0
[]
[]"
case 21,"4
[30]
[43]","4
[30]
[43]"
case 22,"4
[15,21]
[18,23]","4
[21]
[18]"
