Test Case,Expected,Result
case 1,"3
[33]
[18]","1: 3
2: [33]
3: [18]"
case 2,"3
[10]
[21]","1: 3
2: [10, 21]
3: [21]"
case 3,"3
[18]
[37]","1: 3
2: [18, 26, 30, 32]
3: [37]"
case 4,"3
[24]
[9]","1: 3
2: [24,27]
3: [9]"
case 5,"0
[]
[]","1: 1
2: [13]
3: [9]"
case 6,"0
[]
[]","1: 4
2: [6, 7]
3: [10]"
case 7,"0
[]
[]","1: 4
2: [16]
3: [11]"
case 8,"0
[]
[]","1: 3
2: [10,15]
3: [19]"
case 9,"0
[]
[]","1: 0
2: []
3: []"
case 10,"0
[]
[]","1: 0
2: []
3: []"
case 11,"0
[]
[]","1: 0
2: []
3: []"
case 12,"1
[13]
[17]","1: 1
2: [13,14]
3: [17]"
case 13,"1
[18]
[23]","1: 0
2: []
3: []"
case 14,"1
[39,40]
[5]","1: 1
2: [9, 13, 20, 22, 27, 31, 35]
3: [5, 5, 5, 5, 5, 5, 5]"
case 15,"1
[31]
[33]","1: 1
2: [31, 32]
3: [33]"
case 16,"1
[5,6]
[7,9,10,12]","1: 0
2: []
3: []"
case 17,"1
[4]
[7]","1: 1
2: [4]
3: [6, 7]"
case 18,"1
[5]
[9]","1: 1
2: [5]
3: [8, 9]"
case 19,"4
[5,6,7]
[12,18,33,37,42,47]","1: 4
2: [30]
3: [33]"
case 20,"4
[14]
[15]","1: 4
2: [14]
3: [15]"
case 21,"4
[30]
[43]","1: 4
2: [32, 30, 40]
3: [42]"
case 22,"4
[15,21]
[18,23]","1: 3
2: [16]
3: [18]"
